01000101011100010111110010010000, 0.1408, 0.0161, 0.8416, 0.4375
11001010001001100111001000001011, 0.1306, 0.0056, 0.8234, 0.4375
01010001111001010001101010100100, 0.2472, 0.0160, 1.9067, 0.4375
00111110110011001111110010001010, 0.2689, 0.0383, 1.8202, 0.5625
00001010011000101011110010110001, 0.1770, 0.0329, 1.0690, 0.4375
11001001001110001011111010100111, 0.0970, 0.0083, 0.3410, 0.5625
01100100000110101011110001010101, 0.0938, 0.0127, 0.3675, 0.4688
01100000111000100101101001010100, 0.0849, 0.0063, 0.3923, 0.4062
01001100011100000111101100000100, 0.1739, 0.0102, 1.2512, 0.4062
01110011001010100111101011010000, 0.1163, 0.0215, 0.4910, 0.5000
01011001000000011001100010110101, 0.2422, 0.0200, 1.8555, 0.4062
10111100000110110011000100010101, 0.1740, 0.0071, 1.2143, 0.4688
00010110111000100011110101001000, 0.1238, 0.0133, 0.6939, 0.4375
01000011001101010000000110110001, 0.2495, 0.0161, 1.9912, 0.3750
01110011010110111101001000001001, 0.2638, 0.0122, 2.0406, 0.5000
01111001100111111111101101001101, 0.1380, 0.0068, 0.6382, 0.6875
01111111000100001100111011111101, 0.1445, 0.0117, 0.7262, 0.6250
10111011111010011010010011110000, 0.1410, 0.0253, 0.6456, 0.5625
01001110101100010110000101000100, 0.1731, 0.0265, 1.1127, 0.4062
01000001011111001011100101100110, 0.1739, 0.0234, 1.0517, 0.5000
10100000011010010111001110110101, 0.1921, 0.0116, 1.3277, 0.5000
10010000011110011100111100000111, 0.1047, 0.0088, 0.4765, 0.5000
10110000000011001010000111101111, 0.0856, 0.0077, 0.3257, 0.4688
11011011101110110101100101111001, 0.1274, 0.0057, 0.5722, 0.6562
00001001010001001100001100100000, 0.2580, 0.0166, 2.1660, 0.2812
10010010100110010011011001101010, 0.2267, 0.0307, 1.5522, 0.4688
01000010100100000001010111000001, 0.0809, 0.0138, 0.3858, 0.3125
11001101101000011100010100101100, 0.2861, 0.0183, 2.2459, 0.4688
01110000000010011111110111110000, 0.0894, 0.0081, 0.3291, 0.5000
00100010101100001011110010001110, 0.1089, 0.0080, 0.5873, 0.4375
11010010101101100101100111101101, 0.1449, 0.0082, 0.7899, 0.5938
01000010100000000101101111101001, 0.1294, 0.0116, 0.7948, 0.4062
11001111011001000001110111100110, 0.1483, 0.0186, 0.7721, 0.5625
10110101110100000011100000010000, 0.1707, 0.0339, 1.0609, 0.3750
11001110100010000111010110100000, 0.1770, 0.0088, 1.2622, 0.4375
11111001100110100001110011111101, 0.1597, 0.0112, 0.8822, 0.6250
00111110000110100111011101110001, 0.0942, 0.0055, 0.3357, 0.5625
11011100011111001000000101011001, 0.1024, 0.0051, 0.4831, 0.5000
10011011011111100011101000000111, 0.0996, 0.0084, 0.3664, 0.5625
11111010110110100011101000110000, 0.1551, 0.0120, 0.9240, 0.5312
00001101001101000010110000111111, 0.0933, 0.0043, 0.4294, 0.4688
10101101000100000110001011110000, 0.1272, 0.0265, 0.6538, 0.4062
